,Unnamed: 0,id,text_ids,question,answer
2179,0,2579,[10900 11395 876],What is methandriol a derivative of?,5-androstenediol
431,0,1307,[11154 2774],What is the primary function of the teres minor muscle?,To modulate the action of the deltoid
1360,0,2564,[6767 5957 10811],What is the condition for two sets to be considered disjoint?,Their intersection is the empty set
943,0,1683,[3072 9379 12410 11123],What is the primary purpose of stapedectomy?,To improve hearing by removing the stapes bone and replacing it with a micro prosthesis
734,0,1048,[2450 12913 12348],What is the boiling point of difluoroamino sulfur pentafluoride?,-17.5°C
424,0,776,[1065 6625],What is a key function of wobble base pairs in translation?,They allow for the recognition of multiple codons by a single tRNA molecule
521,0,837,[6837 4711],What is one of the risk factors for venous thrombosis?,Age
1187,0,560,[1007 11765],What type of reaction do iminoboranes tend to undergo with protic agents?,Addition reactions
1110,0,1121,[6111 13103 4997],What is the primary area of the brain where the GABAA α5 subtype is expressed?,The hippocampus
2054,0,971,[8175 4423],What is the enzyme that catalyzes the condensation of L-serine and an acyl-CoA thioester to form 3-ketodihydrosphingosine?,Serine C-palmitoyltransferase
546,0,1137,[6743 6100 12750 6658],What is the dimension of all cotangent spaces at points on a connected manifold?,Equal to the dimension of the manifold
826,0,215,[5884 11327],What is one common symptom of mature T-cell lymphoma?,Enlarged painless lymph nodes
1203,0,671,[8386 9451],What type of cells are being engineered for transient protein production?,CHO cells
1240,0,1750,[10017 11438 12623 4201],What is the role of phosphorylase kinase in stimulating glycogen breakdown?,Phosphorylase kinase stimulates glycogen breakdown into free glucose-1-phosphate by phosphorylating glycogen phosphorylase
592,0,345,[2705 9080],What is the primary function of magnetosomes in magnetotactic bacteria?,To orient the bacteria in geomagnetic fields
1900,0,146,[2626 2567 3524],What are the risk factors for Colles' fractures?,"Osteoporosis, particularly in older adults and post-menopausal women"
406,0,2223,[2899 8788 2383 6850],What type of lifting surface does the waverider use?,The waverider uses shock waves generated by its own flight as a lifting surface
1880,0,40,[11056 11969],What is the genetic defect that causes xeroderma pigmentosum?,An autosomal recessive genetic defect in the nucleotide excision repair (NER) enzymes
2187,0,1504,[11201 2924],What is the impact of age of acquisition on the speed of reading?,Early-acquired words are processed more quickly
124,0,1168,[745 5217],What is the number of square faces in a 5-cube?,80 square faces
1512,0,1247,[2239 2647 12866 1621],What is IL-30's role in cancer?,IL-30 promotes tumor growth and progression
1284,0,954,[3224 7278 6742],What is one advantage of spatio-spectral scanning?,"It facilitates pointing, focusing, and data analysis"
46,0,387,[10060 12999 11461],What is the name of the plant where scyllo-inositol is found most abundantly?,The coconut palm
1271,0,1387,[11283 9956 12520],What is Fluazinam used to control in potatoes?,Late blight
1814,0,955,[10598 1016 12848],What three pieces of information are needed to encrypt a message in certificateless cryptography?,"The recipient's public key, identity string, and the KGC's public information"
1916,0,10,[6626 7727],What is a key factor in determining the transmissibility and efficiency of a passive heave compensation device?,The ratio between the amplitude of the load and the wave amplitude
2120,0,675,[12299 7843],What is the predicted molecular weight of the KIAA0895 protein?,61kDa
1066,0,1853,[3502 6073],What is the range of legs found in Scolopendridae centipedes?,From 21 pairs to more or fewer legs
1848,0,69,[6581 5168 5310],What is a common side effect of chronic exposure to Mercuric Chloride?,Delayed reflexes
1128,0,2195,[683 7202 1874],What is the use of POEA in glyphosate formulations?,POEA allows effective uptake of water-soluble glyphosate across plant cuticles
252,0,1278,[5608 10829 11042 4985],What is the function of p110α?,p110α is a class I PI 3-kinase catalytic subunit that uses ATP to phosphorylate phosphatidylinositols
745,0,799,[11059 7226],What is the gene responsible for Type IV of focal facial dermal dysplasia?,Cyp26c1
998,0,1272,[12739 7835 1197 7459],What is the suborder of mites that includes many species that are notorious pests on plants?,The Prostigmata
692,0,2517,[7499 1586 5850 11808],What is the tosyl group derived from?,Tosyl chloride
2076,0,571,[10380 3251 7155],What is the process of extracting digital contents from a container without damaging the media or data?,Ripping
1863,0,1879,[13254 4390 9510],What is the main difference between classical logic and free logic?,"Free logic allows for the possibility of no objects in the domain, whereas classical logic assumes that there is always something in the domain"
121,0,2725,[2612 12331 2247 10722],What type of differential equation can the Riccati equation be converted to?,A second-order linear ordinary differential equation
1605,0,50,[1175 6994],What is released by Dichelobacter nodosus that causes pain and foot rot?,Protease enzymes
1815,0,1641,[6906 5390 1087],What is the primary use of flurothyl in scientific research?,Flurothyl is primarily used to induce seizures in laboratory animals
590,0,2496,[3927 6276 2158],What is the reason for depurination occurring in DNA?,Purine is a good leaving group and the anomeric carbon is reactive towards nucleophilic substitution
53,0,1881,[3758 773],What is Switching Noise Jitter characterized by?,The variability of switching events in time relative to a reference
1005,0,819,[12386 2611 6223],What is the name of the heuristic that involves forfeiting a turn and then performing a shallow search on the resulting position?,Null-move heuristic
1520,0,489,[9437 7378 7508],What is the tough outer coating of endospores made up of?,Keratin
1028,0,619,[160 3628 11019],What is a use of mesitylene in the electronics industry?,It is used as a developer for photopatternable silicones
151,0,811,[10817 4578],What is the predicted molecular mass of the TMEM275 protein?,17.2 kDa
1861,0,1228,[5783 5468],What is the maximum amount of RAM that can be added to the Casio FX-850P calculator?,32KB
1365,0,1452,[2305 9020],What is the function of RAV1 in yeast?,It is involved in V-ATPase assembly
1608,0,1922,[1562 3603 1321],What is mechlorethamine classified as under the Chemical Weapons Convention?,It is classified as a Schedule 1 substance
408,0,1486,[603 573 10453],What is the result of sodium peroxide reacting with water?,Sodium hydroxide and hydrogen peroxide
1214,0,977,[10673 12619 6288],What is affected by regions with different electrical potentials according to the electric Aharonov-Bohm effect?,A charged particle
486,0,1072,[1695 3842 13066],What is the conjugate base of a carboxylic acid?,A carboxylate ion
2085,0,1792,[4508 6793 5718],What temperature range is optimal for the reproduction of Aphelenchoides ritzemabosi?,Between 17°C and 23°C
1912,0,1231,[3525 13214 12120],What is the number of unique runcinations of the runcinated 7-simplex?,8
1132,0,363,[8763 10371],What is the primary function of catalase?,It is essential for the decomposition of hydrogen peroxide
1780,0,1753,[5936 9457 402 3405],What type of media did Memory Sticks store?,"Images, videos, and music"
169,0,758,[8110 7333],What is the estimated distance of Apep from Earth?,2.4 kiloparsecs
1336,0,1146,[9221 10237],What is the unique rolling property of a polycon?,It has a single developable face that allows for uniform motion
1616,0,1355,[11946 8645],What is the dimension of the quaternionic projective plane?,8-dimensional
1476,0,1340,[4905 2794 9922 9892],What is the name of the chemokine receptors that MIP-1 binds to?,CCR1 and CCR5
2040,0,512,[8549 13191 5847],What is the main goal of the Compact Linear Collider (CLIC)?,To explore the next energy frontier
660,0,1023,[6411 8654 7529],What can cause salinity from irrigation?,Poor drainage and the use of saline water for irrigation
955,0,610,[7027 4644 5666],What is used to cool molecules through elastic collisions in buffer gas cooling?,Helium
1299,0,1274,[6575 2511 2987],What is the source of ginkgolides?,The Ginkgo biloba tree
988,0,1075,[4457 5224 7315],What is the speed of the asteroid 2019 OK?,Its speed was nearly 1 km/s
1060,0,474,[1077 7219],What method of drawing sundials involves working directly on the wall and not requiring knowledge of the latitude or declination of the dial?,Zarbula's method of drawing sundials
2229,0,997,[9539 13268 5151],What is the predicted weight of the FAM110A protein?,31.3 kilodaltons
1517,0,2519,[13112 2703 3189],What is the typical frequency of the theta rhythm?,Around 6-7 Hz
1548,0,1166,[12441 73 1448],What type of logic is TPTL an extension of?,Linear Temporal Logic (LTL)
1337,0,2242,[343 6278 136 4874],What is the function of VIAAT?,It stores GABA and glycine in neuronal synaptic vesicles
428,0,100,[8579 1900 1963],What is the origin of the name dendralene?,"The name dendralene is derived from the words dendrimer, linear, and alkene"
228,0,2471,[10133 9117],What is Ergoloid Mesylates?,A mixture of three dihydrogenated ergot alkaloids
784,0,166,[6255 1495],What are the Cartesian coordinates of the vertices of the 6-cube?,"(±1,±1,±1,±1,±1,±1)
Final Answer: The final answer is (±1,±1,±1,±1,±1,±1)."
1447,0,2033,[1790 10222 11352 3953],What is the extension of the 1-D EMD algorithm to multiple-dimensional signals?,Multidimensional empirical mode decomposition (MEMD)
1209,0,216,[7679 4962],What is the main advantage of executable compression?,It reduces the storage requirements of software
477,0,1251,[9023 6562 4348 7737],What is the total number of addresses in a /8 IPv4 address block?,"16,777,216 addresses"
2198,0,2485,[8334 6218 7828 5116],What is the function of the MVF family proteins?,They function as lipid flippases
738,0,1159,[5151 13268 10454],What is the predicted weight of the FAM110A protein?,31.3 kilodaltons
2062,0,1471,[1307 6902 4919],What is the number of vertices in a 7-cube?,128
7,0,2254,[7790 5277 12617 10082],What type of propulsion device converts shaft power into the acceleration of a fluid using a rotating axis perpendicular to the direction of fluid motion?,A cyclorotor
1431,0,467,[9332 3263],What type of channel does Kalicludine block?,Kalicludine blocks voltage-dependent potassium channels
1367,0,1396,[9010 4672 1478],What is the purpose of a ternary plot?,It is used to graphically depict the ratios of three variables as positions in an equilateral triangle
930,0,200,[3898 12709],What is the function of N-acetylglutamic acid in vertebrates?,It is the allosteric activator molecule to mitochondrial carbamyl phosphate synthetase I
1171,0,30,[3929 2525],What type of response do CpG ODN elicit?,A Type I pro-inflammatory response
1695,0,1263,[11674 1674 1676 10616],What is the main function of arteries?,They carry oxygenated blood away from the heart to the body
1149,0,1643,[6026 11333 9029],What is the maximum number of processors that can be implemented on a single eSi-RISC chip?,Up to seven processors
1439,0,885,[3253 12384 6273],What is the structure of the interleukin-2 receptor?,"A heterotrimeric protein composed of α, β, and γ chains"
644,0,2434,[3105 4568 4595],What are the three convex regular 8-polytopes?,"The 8-simplex, the 8-cube, and the 8-orthoplex"
1208,0,2708,[12746 4343],What protein is involved in the process of myelination of nerves in the nervous system?,Myelin basic protein
636,0,1254,[5532 10287 5885],What is the legal status of CFT in the United States?,"It is not specifically scheduled, but is considered to be covered under the Federal Analog Act as a Schedule II drug"
904,0,824,[9385 5961 7085],What is the main function of the sarcoplasmic reticulum in muscle cells?,It helps to regulate calcium ion levels within the cell
370,0,1722,[11928 6527 2313],What type of pathogens cause cranberry fruit rot?,Ascomycetes and deuteromycetes
483,0,2083,[10543 13308],What is the main function of a forked tongue in reptiles?,It is used for chemical sampling
852,0,90,[4014 12904],What is the chemical formula of Mottramite?,PbCu(VO4)(OH).
708,0,383,[4810 5019 12085],What are the digits coprime to base 12?,"The digits coprime to base 12 are {1, 5, 7, 11}"
1235,0,1407,[219 9357 11260 7413],What is the primary function of ATP in biochemistry?,It is the energy currency of the cell
754,0,1661,[1901 2352],What is a potential health problem for DJs and bartenders due to prolonged standing?,Varicose veins
1469,0,1727,[12939 2920 1488],What is the structure of thallium(I) iodide at room temperature?,It has an orthorhombic structure
218,0,373,[2295 4509],What is the function of the N-terminus of rhodopsin kinase?,It is involved in its own activation
517,0,2638,[3461 8107],What is the preferred site of cleavage for DNase I?,adjacent to a pyrimidine nucleotide
2068,0,314,[9375 6485],What is magnetic susceptibility a measure of?,How much a material will become magnetized in an applied magnetic field
645,0,1681,[13182 6665 9057 5305],What is the primary method of transmission of Chlamydia psittaci?,"Inhalation, contact, or ingestion"
147,0,742,[7073 8051],What is the primary function of TdT in antibody gene recombination?,"It adds N-nucleotides to the V, D, and J exons of the TCR and BCR genes"
1845,0,2123,[1355 12346 7125],What is the isomer of HCA found in Garcinia cambogia?,(-)-hydroxycitric acid
1634,0,1110,[5047 1886],What is covalently bound to ACP in polyketide synthesis?,The intermediates
1754,0,1748,[5826 9951 12315],What are the main components of insect adhesives?,"Insect adhesives are composed of proteins, polysaccharides, polyphenols, and lipids"
1833,0,187,[12254 8676 10546],What is the main function of PAI-1?,It is a serine protease inhibitor
345,0,2481,[6711 8642 13033],What is the estimated global biomass of prokaryotes in terms of carbon?,Between 13 and 44.5 billion tonnes of C
1624,0,1841,[4725 5817 4972 11613],What is the maximum number of waypoints that a TomTom device as of 2014 can accept?,255 waypoints
68,0,1017,[1148 153 2517],What is the ratio of the density of a substance to the density of a given reference material called?,Relative density
863,0,2499,[3201 10831 5487],What is the molecular weight of the TMTC4 protein?,85.0 kdal
1870,0,2324,[6472 3823 1787 12912],What type of enzyme is CYP2C8?,Epoxygenase
452,0,1079,[12662 8374],What is agaric acid used to treat in tuberculosis patients?,Night sweats
2045,0,1521,[11643 6541 11248],What is an example of a chromosomal disorder that can cause ocular manifestations?,Turner's syndrome
1575,0,805,[5459 5770 363],What is the file format that extends the PNG specification to support animated images?,APNG
462,0,1692,[340 11193 6775],What type of endosymbiosis event is thought to have occurred in the Archaeplastida?,Primary endosymbiosis
44,0,2745,[10227 4894 7035 322],What is the phenomenon where certain crystals alter their refractive index in response to light?,The photorefractive effect
2032,0,1024,[6066 2147],What is the value assigned to the binary codeword '0' in Exp-Golomb coding?,0
819,0,280,[11338 4096 8262],What is the approximate size of the galaxy NGC 3631?,"It is approximately 60,000 light years across"
2244,0,2480,[12628 8095 13094],What is the prospective short-circuit current?,The prospective short-circuit current is the maximum electric current that can exist in an electrical system under short-circuit conditions
458,0,1057,[3151 784 4183],What is the primary use of Pod in the Perl world?,"Documenting Perl itself, modules, scripts, and design documents"
1649,0,1882,[1600 3258],What are some of the virulence factors of Bordetella?,Adhesins and toxins
728,0,1428,[2312 3013 11886 8017],What is the melting point of trimethylborane?,-161.5°C
1724,0,2707,[1655 8035 11995],What was the price of the Radeon RX 6800 XT?,$649 USD
541,0,761,[11252 8510],What order of millipedes is the Chelodesmidae family classified under?,The order Polydesmida
894,0,1301,[6503 1263 1368],What is a common application of Californium-252 in the oil industry?,It is used to find layers of petroleum and water in a well
1904,0,428,[2382 12657],What is the enzyme that catalyzes the conversion of tyrosine to 4-hydroxyphenylpyruvate?,Tyrosine aminotransferase
456,0,678,[12973 13250 9236],What type of fuel is used in gas generators?,"Hydrogen peroxide, hydrazine, and solid rocket propellant compositions"
612,0,1305,[10205 11728],What is the primary function of the basilar membrane?,"It separates endolymph and perilymph, supporting the sensory cells and enabling frequency dispersion"
704,0,2130,[12895 12875 5878 8734],What is the result of mice with the glutamate-cysteine ligase (GCL) gene knocked out?,They do not develop beyond the embryo stage and die before birth
1660,0,1721,[7026 453],What are the two main categories of respiratory diseases?,Obstructive lung diseases and restrictive lung diseases
512,0,699,[2377 2216 884],What is the main application of Chevreul's salt?,It is used to extract copper from ore
1112,0,2314,[9843 7338 2861],What is neuroangiogenesis?,The coordinated growth of nerves and blood vessels during embryonic development and early life
1529,0,718,[5466 9033 7359],What causes aerodynamic heating?,"Aerodynamic heating occurs when an object moves through the air at high speeds, causing the air molecules to compress and heat up"
2110,0,1917,[12449 3902],What is the primary purpose of EMCO MSI Package Builder?,It is designed for network administrators to create preconfigured silent installations
638,0,1977,[10034 13034],What is the system used to classify minerals based on their chemical composition and structural features?,The Nickel-Strunz code scheme
469,0,1469,[12965 2727],What is the purpose of detecting AFP-L3% in patients with chronic liver disease?,It helps identify patients who require more intense evaluation for evidence of HCC
2217,0,922,[4197 8906],What is the role of phospholipase C in the inflammation pathway?,It catalyzes the release of arachidonic acid from membrane phospholipids
889,0,455,[5073 5993 8800],What determines the color of flames in pyrotechnics?,The metal cation determines the color of flames in pyrotechnics
292,0,2474,[12266 9721 8695],What is the location of RSK-3?,RSK-3 is located at 6q27
2086,0,1395,[10511 1402],What is the main component of soda lime?,Calcium oxide
1770,0,1950,[2664 12559 3043 2388],What is the spin state of triplet oxygen?,The spin state of triplet oxygen is s = 1
2030,0,160,[11719 434],What is a Gyre?,A gyre is a large system of circulating ocean currents
766,0,1990,[3956 11617 8492],What is the role of USPs in the persistence of Mycobacterium tuberculosis?,USPs play a significant role in the persistence of Mycobacterium tuberculosis
1585,0,1275,[2780 7450],What is urate oxidase essential in the ureide pathway of?,legumes
2142,0,320,[11424 6860 1288],What is the main purpose of the MPEG-G standard?,"To provide interoperable solutions for data storage, access, and protection across different implementations"
939,0,49,[9344 10104 3053],What is the function of the enzyme AMACR?,It catalyzes the conversion of (2R)-methylacyl-CoA esters to their (2S)-methylacyl-CoA epimers
1862,0,161,[5723 3643 6787],What is one of the uses of Ammonium fluorosilicate?,As a disinfectant
2126,0,673,[12404 10499],What is the product of the cleavage reaction catalyzed by DNA AP lyase?,A 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate
1574,0,1331,[9707 858 4639 7497],What is the typical endpoint for ELS tests?,Growth and survival
2190,0,2320,[11169 3366],What type of forces cause adhesion?,"Chemical adhesion, dispersive adhesion, and diffusive adhesion"
960,0,317,[12660 2790 9396],What type of force is exerted by the Earth on an object?,Gravitational force
1199,0,1901,[1107 6235 9257 7150],What is a hazard of liquid hydrogen due to its temperature?,It is a hazard for cold burns
1298,0,2035,[4045 12942],What type of nucleotides are used in the ClickSeq method to induce stochastic termination of cDNA synthesis?,3'-azido-nucleotides
2112,0,207,[12306 3673 7061],What is the outermost of the three primary germ layers?,The ectoderm
2025,0,1453,[11337 213 6692],What is the enzyme that Disulfiram inhibits in the body?,Acetaldehyde dehydrogenase
1547,0,1757,[4001 566],What is the electron acceptor of GCDH?,Electron transfer flavoprotein
1539,0,2397,[12433 3227 6063],What is eXeLearning used for?,It is used to create educational interactive web content
2168,0,1567,[6991 8253 3290 11740],What is the location of the HLCS gene?,The HLCS gene is located on the long arm of chromosome 21 at position 22.1
1509,0,2231,[5212 10188],What is the main effect of glucuronidation on a substrate?,It makes it more water-soluble
1049,0,1551,[10238 8132 12116],What type of tensors are used to describe the curvature of spacetime in general relativity?,Higher-order tensors
1824,0,1995,[12451 12619 4476 10673],What is a manifestation of the fact that a connection with zero curvature need not be trivial?,The Aharonov-Bohm effect
1793,0,1383,[2131 10493 3124 507],What is the region of gravitational dominance around an astronomical body?,The Hill sphere
1782,0,104,[7515 12486 6039],What is one of the advantages of Heavy Ion Fusion over laser-based ICF?,"The driver efficiency is higher, requiring less energy to produce the same amount of fusion energy"
1621,0,2749,[5757 5998 6650 5638],What is a two-dimensional shape composed of straight line segments?,A polygon
1732,0,1462,[1625 3424],What type of transceivers is the Yaesu VX series?,Amateur radio handheld transceivers
167,0,2189,[2832 5372 7029],What is the purpose of MLVA?,To study the genetic makeup of microorganisms
1013,0,2140,[3751 11286],What causes the spin-reversal motion of rattlebacks?,The growth of instabilities on the rolling and pitching axes
1844,0,2574,[599 2001 4493],What type of tissue is found in all extant classes of echinoderms?,Catch connective tissue
1361,0,622,[9257 6235],What is one use of liquid hydrogen?,It is used as a rocket fuel
1645,0,1344,[10019 12043],What is the role of IL-1β in tumorgenesis?,It can induce the expression of pro-inflammatory genes and promote the growth and survival of cancer cells
1680,0,1183,[5536 6910],What type of star is HD 222582 A?,A G-type main-sequence star
834,0,389,[7272 7004 7782],What is the main advantage of fractal antennas over traditional antennas?,They have good multiband performance
1183,0,2747,[1128 9667 4119 3179],What is the name of the inventor who developed the aliquot stringing system in 1873?,Julius Blüthner
1035,0,2727,[9318 1004 7317],What is the biological half-life of strontium in the human body?,Around 18 years
1404,0,752,[8031 2778],What is the mechanism of action of drospirenone?,"It binds to the progesterone receptor, inhibiting ovulation, and alters the cervical membrane and endometrium"
1550,0,1962,[4938 2856],What is the characteristic mutation in mantle cell lymphoma?,Cyclin D1
1694,0,650,[934 1239],What is the mechanism of action of pevonedistat in cancer cells?,"Pevonedistat forms a stable covalent adduct with NEDD8, preventing its utilization in subsequent reactions necessary for NAE activity"
420,0,292,[1541 2769 5504],What is riebeckite used for in the manufacture of?,Curling stones
404,0,2755,[9479 2636 11363 7565],What is a condition for a set to be finite?,The existence of a bijection with a natural number
1504,0,1857,[4543 11425],What transistor has been a key enabler of miniaturization in electronics?,The MOSFET transistor
465,0,2520,[4719 8402],What year was butyl rubber first developed?,1931
118,0,1421,[12483 7340 1686],What is a way to divide a triangulated category into simpler pieces?,A semiorthogonal decomposition
500,0,1570,[1878 12519 11695 12532],What is the redundancy theory of truth equivalent to?,Asserting the statement itself
146,0,1688,[7741 9657],What is the result of treating croconic acid with malononitrile in water solution at 80–90°C?,Croconate acid blue is obtained
579,0,1575,[9498 5087 12109 2343],What is the typical ransom demanded by Gpcode?,$100-200
1721,0,1374,[3365 493 7274 1421],What type of compound is dihydroxynaphthoquinone?,A derivative of naphthoquinone
62,0,1671,[1074 5708],What is the function of the N-terminal domain in S-adenosylmethionine synthetase enzyme?,It is involved in substrate and cation binding
2216,0,1656,[6857 2402 5612],What was β-HCH used as before it was banned in the United States in 1985?,A pesticide
1362,0,118,[2674 9629 4684],What is the optimal temperature for the growth of Aquifex aeolicus?,85°C
357,0,834,[13121 2208 6072],What is dynamic pressure defined as?,"The product of fluid mass density, flow speed, and gravity"
723,0,2138,[8498 2508 3715 4412],What chromosome does the FAM203B gene locate on?,Chromosome 8
1394,0,627,[2217 12832],What was the year in which Charles Scott Sherrington discovered nociceptors?,1906
1393,0,2039,[6915 5388 11601],What is the bulk modulus a measure of?,It is a measure of a substance's resistance to compression
762,0,262,[2645 8537],What is the formula of Phloroglucinol?,C6H3(OH)3
298,0,1908,[7971 9326],What is pectus excavatum?,A congenital deformity of the chest wall
853,0,222,[3337 4506 733],What is the diameter of NeVe 1 compared to Messier 87?,It has a diameter twice that of Messier 87
154,0,1465,[4214 12308],What is the consensus motif found in the promoters of αr35 loci?,CTTAGAC-n17-CTATAT
1156,0,669,[9987 7737],What is responsible for allocating IP addresses within a particular region of the world?,Regional Internet registries (RIRs)
824,0,1416,[11735 7324 7371],What is the name of the compression algorithm used by UPX?,UCL
495,0,1496,[342 11322],What is the primary mechanism for turbidite formation?,Changes in fluid density
1614,0,1665,[3917 4847 6739 12444],What is the name of the polytope that is related to the rectified tesseract through truncation of its vertices?,The tesseract
1684,0,1413,[5741 10491],What can cause far-sightedness?,"A combination of factors, including a short axial length of the eyeball, a flatter cornea or lens, and age-related changes in the refractive index of the lens"
1546,0,2670,[4369 331],What type of neurotransmitters are regulated by N-type calcium channels?,"Glutamate, GABA, acetylcholine, dopamine, and norepinephrine"
1852,0,2686,[11935 4368],What is the primary process involved in recycling ABS?,Grinding and melting
332,0,1679,[8678 4219 1439],What is the typical shape of a nematode's body?,"Nematodes have a characteristic elongated body shape, with a pointed anterior end and a rounded posterior end"
1591,0,868,[5479 3775 2142],What molecules are responsible for self-avoidance in vertebrates?,Clustered Protocadherins (Pcdhs)
951,0,1366,[10355 1624 4638 8761],What is the main molecule involved in the process of chemonucleolysis?,Chymopapain
758,0,1800,[11104 13282],What type of architecture does NTC Module's NeuroMatrix series use?,VLIW/SIMD architecture
576,0,2623,[12819 44],What is used to keep induced hydraulic fractures open?,Proppants
172,0,714,[3137 3041],What is the predicted role of CCDC78 in skeletal muscle contraction?,It is predicted to play a role in skeletal muscle contraction
697,0,248,[8956 10172 3640],What is formed in bloodstains as a result of the oxidation of oxy-hemoglobin to methemoglobin?,Hemichromes
235,0,1916,[3468 10351 7157],What type of power supply is often used in Mini-ITX boards?,DC-DC converters
1424,0,1158,[2974 2227 10083],What is the inheritance pattern of PRPF31 mutations?,Mutations in the PRPF31 gene are inherited in an autosomal dominant manner
2158,0,1704,[6385 6017 11262 11267],What is a condition for an infinite graph to have a haven of infinite order if and only if it has a grid minor of infinite size?,The thickness of the end corresponding to the haven
783,0,1265,[12258 539 11107],What is progabide used to treat?,Epilepsy
1202,0,197,[5714 10913 2133],What is a bone scan used to diagnose?,"Various bone conditions, including cancer, fractures, and infections"
104,0,2118,[1801 9947],What is the purpose of the Flesch-Kincaid readability tests?,To measure the difficulty of a passage in English
1958,0,1256,[6557 8687],What is the purpose of constructing a VSP?,To identify the source wavelet
1978,0,2665,[7721 1988],What material is the lens's body and mount made of?,Metal
700,0,2076,[4282 11025],What type of infusion devices are used to deliver intravenous anesthetics in TIVA?,"Smart pumps, syringe pumps, and target-controlled infusion (TCI) devices"
1088,0,2270,[9813 2582 12980],"What is 1,1-Dichloroethene used for in semiconductor device fabrication?",It is used for growing high purity silicon dioxide films
1349,0,1089,[6615 7996],"What is the role of tryptophan 2,3-dioxygenase in the human body?",It catalyzes the oxidation of tryptophan to N-formyl-kynurenine
1828,0,1192,[3152 4333 9970],What type of phenolic compounds are homoisoflavonoids?,Homoisoflavonoids are a type of phenolic compounds with a 16-carbon skeleton
435,0,1668,[6341 2464],What is the most common type of HIV-induced cardiomyopathy?,Dilated cardiomyopathy
839,0,230,[1795 7374 6692],What is the enzyme that is inhibited by Disulfiram?,Acetaldehyde dehydrogenase
811,0,194,[404 10886],What platforms does CloudCompare support?,"CloudCompare is available on Windows, Linux, and Mac OS X platforms"
614,0,1544,[1808 2182],What is the function of Rpn11 in the 26S proteasome complex?,It hydrolyzes ubiquitin molecules from poly-ubiquitin chains.
445,0,27,[3072 9379],What was the year of the world's first stapedectomy?,1956
759,0,532,[9920 4047 4337],What is the typical temperature range associated with febrile seizures?,Typically above 38°C (100.4°F).
1630,0,1946,[8857 1064 5750 9424],What is the dimension of Okubo algebras?,8-dimensional
1395,0,898,[5428 5098],What is the main use of octyl methoxycinnamate in cosmetics?,It is used to absorb UV-B rays and protect the skin from damage
395,0,2030,[5008 10418 9259 4668],What type of molecules are repelled by water?,Hydrophobic molecules
2234,0,786,[9019 6710],What are the regular polygons found in the 3-4-6-12 tiling?,"Triangles, squares, hexagons, and dodecagons"
208,0,973,[10830 3577],What is the typical method of administration of 5-MeO-AMT?,"Orally, but can also be snorted or smoked"
1778,0,1740,[4548 9024 1290 8726],What is the function of the cytoplasmic loop in the transmembrane domain of BglF?,It creates the sugar translocation channel
1164,0,888,[3510 9249 9633],What type of media can Tapesia yallundae be grown on?,"Wheat and barley straw, oat kernels, and agar media"
185,0,2534,[2334 12330],What type of algebra corresponds to a conic in dimension one?,A quaternion algebra
528,0,1210,[8654 9093 7529 6411],What can cause salinization in naturally dry regions?,"Salts may accumulate in dry regions, leading to naturally saline soils"
259,0,910,[12906 9234 2959],What is the diameter of S. olei?,0.5-0.6 μm
1719,0,1147,[11722 11195 8720],What is the legal status of PMMA in the UK?,"It is controlled as a Schedule 1, Class A drug"
547,0,2507,[7718 2966 10067],What is the bacterium that causes plague?,Yersinia pestis
1446,0,2589,[12396 11701 12130 7696],What is the study of the pathways and networks of cellular lipids in biological systems called?,Lipidomics
221,0,2467,[4322 3744 12646],What is the purpose of Subjective Refraction?,To determine the best combination of lenses to improve a patient's unaided vision or vision with current glasses
1475,0,2643,[10957 7723 2719],What is the upper boundary of the exosphere defined by?,The distance at which the influence of solar radiation pressure on atomic hydrogen exceeds that of Earth's gravitational pull
508,0,1785,[1590 5181 10789 11053],What is the position of the hydroxyl group in 17α-OHP?,At the C17α position
674,0,2144,[1563 9034 4040 2657],What was the fixed shutter speed of the first Instamatic cameras?,1/90 of a second
1728,0,2057,[648 5499],What is the main purpose of a planisphere?,To help users recognize stars and constellations
2141,0,2390,[1475 13288 4778 12654],What percentage of people have intestinal bacteria that make equol?,30-50% of people
1639,0,1417,[8772 11458],What type of inheritance occurs when offspring inherits a maternal and a paternal allele for one gene?,Biparental inheritance
578,0,2694,[11181 2967],What is the structure of uteroglobin?,A disulfide-linked homodimer
1215,0,1855,[12616 12216 8542 1577],What is the typical location of Xanthogranulomatous Process?,"It is commonly found in the kidney and renal pelvis, as well as in the gallbladder, but has also been reported in other locations"
502,0,2661,[13301 709 2244],What year was binocular rivalry first discovered?,1593
1820,0,1711,[8024 4892 11085 2938],What are some applications of nanocomposite hydrogels?,"They have applications in tissue engineering, drug delivery, and antibacterial applications"
182,0,162,[12553 18 1970],What is the technique used to deliver genetic cargo directly onto the surface of the skin?,Tissue nanotransfection
1221,0,1479,[6480 1177 1152 2680],What is the codename for the next release of Debian?,Debian 13 (Trixie)
385,0,2063,[6406 12950],What is a factor in determining an aircraft's stalling speed?,Wing loading
1408,0,327,[10548 197 6377],What type of storage is designed specifically for managing storage in virtualized environments?,VM-aware storage
1286,0,1207,[11587 9262 376],What is the characteristic feature of epithelial tissue?,It is characterized by a continuous sheet of cells with little intercellular space
